CountryName	CountryCode	GDP	Variable
Austria	AUT	436887543466.95	151.91
Norway	NOR	499817138323.2	116.13
Belgium	BEL	531546586178.58	114.27
Argentina	ARG	537659972702.09	158.80
Poland	POL	544966555714.06	148.89
Nigeria	NGA	568508262377.8	77.84
Sweden	SWE	571090480171.00	127.84
Switzerland	CHE	701037135966.05	136.68
Saudi Arabia	SAU	753831733333.33	179.56
Turkey	TUR	798429233036.33	94.79
Netherlands	NLD	879319321494.64	116.42
Indonesia	IDN	888538201025.35	128.78
Mexico	MEX	1294689733233.03	82.22
Spain	ESP	1381342101735.68	107.85
Korea, Rep.	KOR	1410382988616.48	115.71
Australia	AUS	1454675479665.84	131.23
Canada	CAN	1785386649602.19	81.04
Russian Federation	RUS	1860597922763.44	155.14
India	IND	2048517438873.54	74.48
Italy	ITA	2141161325367.43	154.29
Brazil	BRA	2416635506076.31	138.95
South Asia	SAS	2588688024254.73	75.40
France	FRA	2829192039171.84	101.21
United Kingdom	GBR	2988893283565.2	123.58
Germany	DEU	3868291231823.77	120.42
Japan	JPN	4601461206885.08	120.23
China	CHN	10354831729340.4	92.27
United States	USA	17419000000000.00	110.20
