CountryName	CountryCode	GDP	MilitarySecurityPercentage	Variable
South Africa	ZAF	350140810003.32	1.11	389645807974.62
Colombia	COL	377739622865.84	3.14	1184595118047.38
United Arab Emirates	ARE	399451327433.63	5.70	2275507147719.54
Thailand	THA	404823952117.93	1.42	572978435827.81
Iran, Islamic Rep.	IRN	425326068422.88	2.33	990111887232.40
Austria	AUT	436887543466.95	0.76	330515909547.42
Norway	NOR	499817138323.2	1.47	733678920920.39
Belgium	BEL	531546586178.58	0.98	519150912836.81
Argentina	ARG	537659972702.09	0.91	488483125592.24
Poland	POL	544966555714.06	1.90	1034529022032.02
Nigeria	NGA	568508262377.8	0.41	235771050141.91
Sweden	SWE	571090480171.00	1.15	655551806389.50
Switzerland	CHE	701037135966.05	0.66	461277647668.48
Saudi Arabia	SAU	753831733333.33	10.71	8076240000000.00
Turkey	TUR	798429233036.33	2.23	1777064039109.53
Netherlands	NLD	879319321494.64	1.18	1033260237457.98
Indonesia	IDN	888538201025.35	0.78	692924870420.46
Mexico	MEX	1294689733233.03	0.67	866338160616.89
Spain	ESP	1381342101735.68	1.23	1705069247404.00
Korea, Rep.	KOR	1410382988616.48	2.64	3728619337016.15
Australia	AUS	1454675479665.84	1.81	2625860644450.56
Canada	CAN	1785386649602.19	1.00	1785364047768.49
Russian Federation	RUS	1860597922763.44	4.55	8469652042044.70
India	IND	2048517438873.54	2.48	5075493132247.32
Italy	ITA	2141161325367.43	1.47	3157111530788.21
Brazil	BRA	2416635506076.31	1.35	3266516529276.79
France	FRA	2829192039171.84	2.25	6361356604457.68
United Kingdom	GBR	2988893283565.2	1.98	5914101997071.16
Germany	DEU	3868291231823.77	1.19	4610267076454.46
Japan	JPN	4601461206885.08	1.00	4588852751924.27
China	CHN	10354831729340.4	1.93	19965241788799.70
United States	USA	17419000000000.00	3.50	60991400000000.00
